"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Nöt talg";1;"Fett, olja";656;2746;71;7;0;0;21.7;0;0.3;0;0;0;0;0;0;35.8;0;0.1;3.2;20.2;10.8;0.5;28.8;2.6;25.3;2.8;2.4;0.3;0;0;0;0;109;22;19;36;0.1;0.6;;0;0;0;1.28;0;1;0;0;7;0;0.3;0;6;3;10;0;1;0.1;0
"Gris späck";2;"Fett, olja";763;3193;85;2.8;0;0;11.1;0;0.7;0;0;0;0;0;0;32.8;0;0.1;1;20.7;10.6;0.2;38.5;2.3;35.2;9;7.8;0.7;0;0;0;0;57;4;4;0;0.6;0.7;;0.05;0.07;0.5;1.01;0.02;1;0.6;0;26;0;0.2;4;65;1;11;0;5;0.4;0
"Gris ister";3;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;48.8;0;0.1;1.5;26.7;20;0.2;37.5;2;34.1;9.4;7.9;0.7;0;0;0.2;0.3;95;9;9;0;0;1.2;;0;0;0;0;0;0;0;0;3;0;0.1;1;1;1;2;0;7;0.1;0
"Kokosfett";4;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;92;13;46.3;18.7;9.6;3;0;6;0;7.2;2;1.8;0;0;0;0;0;0;0;0;0;0;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Matfettsblandning havssaltat fett 80% berikad typ Bregott";5;"Fett, olja";712;2977;80;0.5;0.5;0;17.5;0;1.5;0.4;0;0.4;0;0;0;39.2;6.4;2;6;17.2;6.5;0.3;26.5;0.9;24.5;8.5;6.1;2.4;0;0;0;0;180;919.2;900;230;20;6.8;;0.01;0.02;0.1;0.22;0.01;3;0.1;0;26;2.4;0.2;18;20;3;800;2;0;0.1;0
"Matfettsblandning fett 60% berikad typ Bregott mellan";6;"Fett, olja";534;2235;60;0.4;0.5;0;38.1;0;1;0.5;0;0.5;0;0;0;26.6;3.8;1.2;4;12.1;3.9;0.2;22.4;0.6;20.9;7.9;5.4;2.4;0;0;0;0;124.8;761.6;745;199;20;6.5;30.7;0;0;0;0.1;0;0;0;0;0;2.7;0;0;0;0;400;1;0;0;0
"Flytande margarin fett 82% berikad typ Milda culinesse";10;"Fett, olja";725;3034;82;0;0;0;16.7;0;1.3;0;0;0;0;0;0;7.3;0;0;0.1;3.6;2.1;0.6;42.5;0.2;41;28.7;19.8;8.8;0;0;0;0;0;693.1;645;577;7.5;23.7;70.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;1.5;0;0;0
"Hushållsmargarin fett 80% berikad typ Melba";12;"Fett, olja";710;2968;80;0.1;0.4;0;18;0;1.5;0.4;0;0.4;0;0;0;36;0.3;2;1.1;23.4;2.6;0;34;0;33.8;10;10.3;4.3;0;0;0;0;0;900;855;540;20;5;;0;0;0;0.02;0;0;0;0;0;0.5;0;0;0;0;600;1.5;0;0;0
"Hushållsmargarin fett 80% berikad typ Milda";13;"Fett, olja";712;2977;80;0.5;0.5;0;17.5;0;1.5;0.3;0;0.3;0;0;0;32;0.3;2;1.1;23.4;2.6;0;30;0;33.8;18;10.3;4.3;0;0;0;0;0;800;760;480;20;12;;0;0;0;0.08;0;0;0;0;0;0.5;0;0;0;0;600;1.5;0;0;0
"Lättmargarin fett 38% berikad typ Becel";17;"Fett, olja";348;1457;38;0;3;0;57.8;0;1.2;0;0;0;0;0;0;8;0.2;0.9;0.3;4.9;1.2;0;11;0;11.9;19;14.2;3.7;0;0;0;0;0;800;760;480;20;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;1.2;0;0;0
